word,pos,synonym
ลิง,n,กบิล|กบี่|กบินทร์|กเบนทร์|กระบี่|กปิ|จ๋อ|พลีมุข|วอก|วานร|พานร|วานรินทร์|พานรินทร์|พานเรศ|มักฏะ|สวา|ชรโมล
นก,n,สกุณ|สกุณา|สกุณี|สกุนต์|ศกุน|ศกุนต์|ศกุนิ|ปักษิน|ปักษี|ปักษา|บุหรง|วิหค|วิหงค์|เวหังค์|สุโนก|สรุโนก|ทวิช|ทิชากร|ทวิชาชาติ
ดอกไม้,n,โกสุม|กุสุม|กุสุมา|กุสุมาลย์|บุษบา|บุษบง|บุษบัน|บุปผา|บุปผชาติ|บุหงา|ผกา|มาลย์|มาลา|มาลี|สุมาลี
บัว,n,ดอกบัว|อุบล|บงกช|นิลุบล|นิโลตบล|ปทุม|สัตตบรรณ|ปัทมา|บุษกร|สัตตบงกช|จงกล|บุณฑริก|ปทุมา|อุทุมพร|สาโรช|กมลาศ|กระมล|โกมล|นีรชะ|วาริช|วารีช|อัมพุช
ผู้หญิง,n,อร|อรทัย|อรนุช|แก้วตา|ดวงสมร|นงคราญ|นงพะงา|บังอร|ร้อยชั่ง|สตรี|สายสมร|อนงค์|อิสตรี|กัญญา|กันยา|กัลยาณี|กานดา|ดรุณี|นงเยาว์|นงลักษณ์|นรี|นารี|มารศรี|ยุพเยาว์|ยุพเรศ|ยุพดี|ยุพา|ยุพิน|เยาวพา|เยาวมาลย์|เยาวเรศ|เยาวลักษณ์|วนิดา|สมร|สุดา|อิตถี|พธู|สัตรี|พนิดา|นงราม|ยุวดี|โฉมตรู|ทรามเชย|ทรามวัย|ทรามสงวน|ทรามสวาท|นิรมล|พุ่มพวง|ภีรุ|มาณวิกา|มาตุคาม|รมณี|ลลนา|วรดนู|สะคราญ|อังคณา
ใจ,n,กมล|กระมล|มโน|มน|แด|หทัย|หฤทัย|ฤทัย|ฤดี|จิต|ดวงใจ|หัวใจ
ทองคำ,n,สุพรรณ|สุวรรณ|กนก|กาญจน์|กาญจนา|มาศ|เหม|ชมพูนุท
ศัตรู,n,ปฏิปักษ์|ปรปักษ์|เวรี|ไพรี|ปัจจามิตร|ริปู|อริ|ดัสกร
ควาย,n,กาสร|กระบือ|มหิงส์|มหิงสา|มหิษ|ลุลาย
ต้นไม้,n,พฤกษ์|รุกข์|ตรุ|เฌอ|ทุม|ปาทป|บาทบ
